"CBC;RBC (Red Blood Cells);Low;""1. Punarnava Mandur: Take 2 tablets (500 mg each) twice daily after meals with warm water for 8 weeks — classical iron-rich Ayurvedic formulation that directly stimulates RBC production in bone marrow. | 2. Shatavari Churna: Take 5 g with warm milk twice daily (morning and bedtime) for 8 weeks — a potent Rasayana that nourishes Rakta Dhatu and promotes erythropoiesis. | 3. Guduchi Swarasa: Take 20 ml fresh Guduchi juice with equal water every morning on empty stomach for 6 weeks — powerful immunomodulator that corrects RBC quantitative deficiency. | 4. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks — rich multi-herb formulation that enhances haematopoiesis and RBC longevity. | 5. Mandur Bhasma: Take 250 mg twice daily with buttermilk after meals for 6–8 weeks under physician supervision — directly stimulates red blood cell formation in bone marrow. | 6. Vidarikanda Churna: Take 3 g with warm milk at bedtime for 6 weeks — nourishes Rakta Dhatu and improves bone marrow vitality. | 7. Dhatri Lauha: Take 250 mg twice daily after meals with honey for 6 weeks — combines Amla and iron to directly stimulate RBC production."";""1. Practice Kapalbhati Pranayama for 10–15 minutes daily — stimulates bone marrow and spleen", primary organs of RBC production. | 2. Perform Yoga Nidra for 20–30 minutes daily to rejuvenate bone marrow and nervous system. | 3. Brisk walking for 30–45 minutes daily stimulates kidneys to release erythropoietin (EPO) triggering RBC production. | 4. Avoid overwork, excessive physical exertion," and dehydration — these cause Dhatu Kshaya (tissue depletion) directly reducing RBC count. | 5. Maintain consistent mealtimes to keep Agni strong for proper nutrient assimilation. | 6. Avoid alcohol completely — directly toxic to bone marrow and suppresses RBC production. | 7. Manage stress through daily 15–20 minutes meditation — chronic stress suppresses haematopoiesis."";""1. Eat dark green leafy vegetables daily — rich in folate essential for RBC maturation and DNA synthesis. | 2. Include Vitamin B12 sources: dairy", eggs, and for non-vegetarians goat liver once a week. | 3. Consume copper-rich foods: sesame seeds, cashews, lentils — copper is essential for iron conversion into haemoglobin. | 4. Drink 2.5–3 litres of water daily — dehydration reduces plasma volume and impairs erythropoietin release. | 5. Eat 5–7 soaked almonds daily — rich in Vitamin E and copper," they protect RBC membranes from oxidative damage. | 6. Include beetroot juice (200 ml) daily — directly supports haematopoiesis and bone marrow activity. | 7. Avoid refined sugar and processed carbohydrates — promote oxidative stress which destroys RBCs prematurely.""",,,,,,,,,,,,,,,,,,,,
"CBC;RBC (Red Blood Cells);High;""1. Triphala Churna: Take 5 g with warm water at bedtime for 8 weeks — detoxifies blood", reduces haemoconcentration and blood viscosity," a classical Tridoshic Rasayana. | 2. Guduchi (Giloy) Swarasa: Take 20 ml with equal water every morning on empty stomach for 6 weeks — a Raktashodhak (blood purifier) that corrects qualitative excess in RBC production. | 3. Neem Capsules: Take 500 mg twice daily after meals for 4 weeks — potent blood purifier that reduces cellular oxidative excess driving erythrocytosis. | 4. Manjistha Churna: Take 3 g with warm water twice daily after meals for 6 weeks — premier Rakta-Shodhana herb that addresses Pitta-aggravated blood conditions. | 5. Sheetala Prasham Vati: Take 250 mg twice daily after meals with cool water for 4 weeks — pacifies Pitta in Rakta Dhatu reducing excessive RBC production stimuli. | 6. Chandanasava: Take 15 ml with equal water after lunch and dinner for 4 weeks — cooling formulation that pacifies Pitta in blood and reduces haemoconcentration."";""1. Increase daily fluid intake to 3.5 litres of water — polycythaemia (high RBC) is worsened by dehydration; adequate hydration dilutes blood viscosity. | 2. Practice Sheetali Pranayama (cooling breath) for 10 minutes every morning — directly cools Pitta", reduces blood viscosity and haemoconcentration. | 3. Avoid high-altitude environments, excessive heat, and smoke-filled areas — all stimulate erythropoietin release increasing RBC production. | 4. Practice moderate-intensity yoga (forward bends," Shavasana) for 30 minutes daily; avoid intense cardio which stimulates further RBC production. | 5. Avoid smoking completely — carbon monoxide from smoking directly drives erythrocytosis as a compensatory response. | 6. Sleep 7–8 hours in a well-ventilated room — sleep apnoea is a major driver of elevated RBC count and must be addressed."";""1. Eat cooling", hydrating foods: cucumber, coconut water (200 ml daily), buttermilk, bottle gourd, ash gourd — pacify Pitta and hydrate blood. | 2. Avoid red meat, organ meats, and iron-fortified foods — these further stimulate RBC production in an already elevated state. | 3. Include generous amounts of citrus fruits, berries," and antioxidant-rich foods to reduce oxidative stress driving erythrocytosis. | 4. Reduce dietary salt — excess sodium causes fluid retention changes that concentrate blood cells. | 5. Eat more plant-based meals — plant proteins are less stimulating to haematopoiesis than animal proteins. | 6. Include ginger-lemon warm water first thing in the morning to thin blood naturally and improve circulation.""",,,,,,,,,,,,,
"CBC;Hemoglobin;Low;""1. Punarnava Mandur: Take 2 tablets (500 mg each) twice daily after meals with warm water for 8 weeks — iron-rich formulation correcting Pandu (anaemia). | 2. Amla Juice: Take 20 ml of fresh Amla juice with 20 ml water every morning on empty stomach for 6 weeks — high Vitamin C enhances iron absorption dramatically. | 3. Lohasava: Take 15 ml mixed with equal water after lunch and dinner for 6–8 weeks — classical Ayurvedic iron tonic. | 4. Ashwagandha Churna: Take 3 g with warm milk and a pinch of turmeric at bedtime for 6 weeks — improves overall haematopoiesis. | 5. Black Sesame Paste: Soak 1 tablespoon black sesame seeds overnight", grind into paste, mix with 1 teaspoon jaggery," consume on empty stomach daily for 4 weeks. | 6. Drakshavaleha: Take 10 g (1 teaspoon) twice daily with warm milk for 6 weeks — grape-based herbo-mineral jam that builds Rakta Dhatu. | 7. Triphala Churna: Take 3 g with warm water at bedtime for 4 weeks — detoxifies gut and improves nutrient absorption enabling better iron uptake."";""1. Wake up before sunrise and practice Anulom Vilom Pranayama for 15 minutes and Bhramari for 5 minutes — oxygenates blood and stimulates bone marrow. | 2. Perform Sarvangasana", Matsyasana," and Paschimottanasana for 20–30 minutes daily to stimulate blood circulation and spleen function. | 3. Avoid excessive physical exertion and prolonged fasting — these aggravate Vata and deplete Rakta Dhatu. | 4. Sleep before 10 PM — liver and spleen perform peak blood filtration between 11 PM–3 AM. | 5. Avoid tea and coffee — tannins inhibit iron absorption by up to 60%. | 6. Morning sunlight exposure for 20–30 minutes (before 9 AM) aids Vitamin D synthesis which supports iron metabolism. | 7. Reduce chronic stress — elevated cortisol suppresses erythropoiesis."";""1. Eat iron-rich foods at every meal: spinach", fenugreek leaves, drumstick leaves, pomegranate, beetroot, black sesame seeds, dates," and raisins daily. | 2. Drink 200 ml pomegranate juice on empty stomach every morning — directly nourishes Rakta Dhatu. | 3. Include 1 tablespoon jaggery daily in place of white sugar — rich traditional source of iron. | 4. Cook in iron cookware whenever possible — leaches bioavailable iron into food. | 5. Pair iron-rich foods with Vitamin C sources at the same meal to maximise absorption. | 6. Soak and sprout legumes before cooking — sprouting increases iron bioavailability by reducing phytates. | 7. Include horse gram (Kulath) soup 2–3 times per week — powerful Ayurvedic food for increasing haemoglobin.""",,,,,,,,,,,,,,,,
"CBC;Hemoglobin;High;""1. Triphala Churna: Take 5 g with warm water at bedtime for 8 weeks — reduces blood thickness", detoxifies Rakta Dhatu, and normalises haemoglobin concentration. | 2. Manjistha Churna: Take 3 g twice daily after meals with warm water for 6 weeks — Rakta Shodhana herb that addresses Pitta excess in blood. | 3. Neem Capsules: Take 500 mg twice daily after meals for 4 weeks — reduces RBC over-production stimulus and purifies blood. | 4. Guduchi Swarasa: Take 20 ml with equal water every morning for 6 weeks — corrects pathological stimuli for excessive haemoglobin synthesis. | 5. Sheetali Prasham Kwath: Boil 5 g each of Shatavari, Licorice, and Guduchi in 400 ml water, reduce to 100 ml," filter and drink lukewarm twice daily for 4 weeks — cooling decoction that pacifies Pitta and reduces haemoconcentration."";""1. Increase fluid intake to 3.5 litres daily — high haemoglobin causes blood viscosity; hydration is the first and most critical lifestyle step. | 2. Avoid smoking completely — carbon monoxide drives compensatory haemoglobin increase. | 3. Avoid high-altitude living or travel where possible. | 4. Practice Sheetali and Sheetkari Pranayama for 15 minutes daily — reduces Pitta and blood viscosity. | 5. Engage in regular moderate swimming or walking for 30–40 minutes daily — improves circulatory efficiency without stimulating more RBC production. | 6. Avoid excessive sun exposure and saunas — heat stress elevates haemoglobin."";""1. Follow a plant-based diet predominantly — animal products", especially red meat and organ meats, stimulate haemoglobin production. | 2. Hydrate with coconut water, cucumber juice, and buttermilk regularly throughout the day. | 3. Avoid iron supplements and iron-fortified foods entirely. | 4. Include blood-thinning foods: ginger, garlic, turmeric," and omega-3-rich flaxseeds and walnuts. | 5. Eat citrus fruits and berries generously for their antioxidant properties. | 6. Reduce salt intake — sodium retention increases blood concentration.""",,,,,,,,,,,,,,,
"CBC;PCV (Hematocrit);Low;""1. Punarnava Mandur: Take 2 tablets twice daily after meals for 8 weeks — directly increases packed cell volume by stimulating RBC production. | 2. Lohasava: Take 15 ml with equal water after lunch and dinner for 6 weeks — raises haematocrit by increasing circulating RBC mass. | 3. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — an adaptogen that stimulates bone marrow and increases total blood cell volume. | 4. Bala Churna: Take 3 g with warm milk once daily at night for 6 weeks — strengthens Rakta and Mamsa Dhatu and supports bone marrow haematopoiesis. | 5. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks — multi-herb formulation that raises PCV by enhancing total RBC production."";""1. Ensure minimum 8 hours of sleep — bone marrow activity peaks during deep sleep; insufficient sleep directly reduces PCV. | 2. Practice moderate aerobic exercise (brisk walking 40 minutes daily) — stimulates erythropoietin release from kidneys raising haematocrit. | 3. Stay well hydrated (2.5–3 litres daily) but avoid excessive fluid that artificially dilutes PCV. | 4. Avoid alcohol — directly suppresses bone marrow and reduces packed cell volume. | 5. Manage stress with daily 20-minute meditation — chronic cortisol elevation suppresses haematopoiesis. | 6. Avoid prolonged fasting — depletes Rakta Dhatu and reduces PCV."";""1. Include folate-rich foods: moong dal", kidney beans, spinach, and asparagus — folate is required for RBC synthesis and increases PCV. | 2. Eat Vitamin B12-rich foods daily: dairy products, paneer, curd, and eggs for vegetarians. | 3. Consume iron-rich meals: leafy greens, sesame seeds, jaggery," and pomegranate at every meal. | 4. Include beetroot (raw or juiced) daily — clinically shown to raise haematocrit through nitric oxide pathway and direct haematopoietic support. | 5. Avoid tea and coffee within 1 hour of meals — tannins block iron absorption reducing PCV over time.""",,,,,,,,,,,,,,,,,,,
"CBC;PCV (Hematocrit);High;""1. Triphala Churna: Take 5 g with warm water at bedtime for 8 weeks — reduces haemoconcentration", detoxifies Rakta Dhatu," and normalises PCV. | 2. Manjistha Churna: Take 3 g twice daily after meals for 6 weeks — addresses Pitta-driven erythrocytosis causing elevated PCV. | 3. Neem Capsules: Take 500 mg twice daily after meals for 4 weeks — reduces pathological stimulus for excess RBC production. | 4. Guduchi Swarasa: Take 20 ml with equal water every morning for 6 weeks — Raktashodhak that normalises haematocrit. | 5. Chandanasava: Take 15 ml with equal water after lunch and dinner for 4 weeks — cooling formulation that reduces Pitta and blood viscosity."";""1. Drink 3.5 litres of water daily — dehydration is the most common cause of elevated PCV; hydration is the primary intervention. | 2. Avoid smoking and high-altitude exposure — both stimulate compensatory erythrocytosis. | 3. Practice Sheetali Pranayama for 10 minutes daily. | 4. Avoid strenuous exercise during treatment period. | 5. Monitor blood pressure regularly — elevated PCV increases cardiovascular risk. | 6. Avoid diuretics and excessive sweating without rehydration."";""1. Follow a predominantly plant-based diet to reduce haematopoietic stimulation from animal proteins. | 2. Hydrate with coconut water", buttermilk, and cucumber juice throughout the day. | 3. Avoid iron supplements and fortified foods. | 4. Include natural blood-thinning foods: garlic (2 raw cloves daily), ginger tea, turmeric milk," and flaxseeds. | 5. Reduce red meat completely during treatment.""",,,,,,,,,,,,,,,,,,,,,
"CBC;MCV (Mean Corpuscular Volume);Low;""1. Punarnava Mandur: Take 2 tablets twice daily after meals for 8 weeks — corrects iron deficiency that causes microcytic (low MCV) anaemia. | 2. Lohasava: Take 15 ml with equal water after meals twice daily for 6 weeks — restores iron stores enabling normal RBC size. | 3. Amla Juice: Take 20 ml with equal water every morning on empty stomach for 6 weeks — Vitamin C boosts iron absorption correcting microcytosis. | 4. Mandur Bhasma: Take 250 mg twice daily with buttermilk after meals for 6 weeks — directly replenishes iron stores normalising MCV. | 5. Dhatri Lauha: Take 250 mg twice daily after meals with honey for 6 weeks — iron-Amla combination specifically for iron-deficiency microcytic states."";""1. Cook in iron cookware exclusively during treatment period — passive iron supplementation through cookware helps replenish iron stores. | 2. Avoid tea", coffee, and calcium supplements within 2 hours of iron-rich meals — these block iron absorption. | 3. Practice Pranayama (Anulom Vilom 15 minutes daily) to oxygenate tissues and reduce demand on microcytic RBCs. | 4. Identify and address any bleeding sources (heavy periods," GI bleeding) with a physician — these perpetuate iron deficiency and low MCV. | 5. Ensure adequate Vitamin C intake at every meal to maximise iron absorption."";""1. Eat iron-rich foods at every meal: spinach", fenugreek leaves, horse gram, sesame seeds, raisins, and jaggery. | 2. Always pair iron-rich foods with Vitamin C (lemon, amla," tomato) to enhance absorption. | 3. Include sprouted legumes daily — sprouting increases non-haem iron bioavailability significantly. | 4. Consume pomegranate juice (200 ml) every morning — corrects iron-deficiency states and raises MCV. | 5. Avoid phytate-rich unprocessed grains without soaking — phytates bind iron and reduce absorption.""",,,,,,,,,,,,,,,,,,
"CBC;MCV (Mean Corpuscular Volume);High;""1. Methylcobalamin (Mecobalamin) + Ayurvedic support — Ashwagandha Churna: Take 5 g with milk at bedtime for 8 weeks alongside B12 supplementation — macrocytosis (high MCV) is almost always B12 or folate deficiency; Ashwagandha supports neurological and haematological recovery. | 2. Brahmi Ghrita: Take 1 teaspoon with warm milk at bedtime for 6 weeks — Brahmi supports neurological pathways affected by B12 deficiency which drives elevated MCV. | 3. Shatavari Churna: Take 5 g with warm milk twice daily for 8 weeks — Rasayana that supports gut mucosa integrity"," improving Intrinsic Factor production for B12 absorption. | 4. Triphala Churna: Take 3 g at bedtime for 6 weeks — improves gut health and nutrient absorption. | 5. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks — supports haematopoietic recovery from megaloblastic states."";""1. Address the root cause — macrocytosis almost always indicates B12 or folate deficiency; consult physician for supplementation alongside Ayurvedic remedies. | 2. Avoid alcohol completely — the single most common dietary cause of macrocytosis; alcohol directly impairs folate metabolism. | 3. Practice Anulom Vilom Pranayama for 15 minutes daily — supports neurological health affected by B12 deficiency driving high MCV. | 4. Follow Dinacharya (Ayurvedic daily routine) including tongue scraping — poor gut health is a major cause of B12 malabsorption. | 5. Avoid prolonged use of antacids and proton pump inhibitors — these impair B12 absorption from food"," a common iatrogenic cause of macrocytosis."";""1. Maximise B12 intake: dairy (cow milk", paneer, curd), eggs — vegetarians are at very high risk; consider sublingual B12 supplementation alongside diet. | 2. Eat folate-rich foods: moong dal, kidney beans, spinach, broccoli, asparagus, and fortified grains at every meal. | 3. Avoid alcohol entirely — damages gastric mucosa reducing Intrinsic Factor and B12 absorption. | 4. Include fermented foods (buttermilk, curd, idli," dosa) to improve gut microbiome health and B-vitamin synthesis. | 5. Eat 5–7 soaked almonds daily — supports cellular health during haematopoietic recovery. | 6. Include Tulsi leaves (5 fresh leaves) every morning — supports gut immunity and nutrient absorption.""",,,,,,,,,,,,,,,
"CBC;MCH (Mean Corpuscular Hb);Low;""1. Punarnava Mandur: Take 2 tablets twice daily after meals for 8 weeks — corrects iron and protein deficiency causing low MCH. | 2. Lohasava: Take 15 ml with equal water twice daily after meals for 6 weeks — raises haemoglobin content per RBC by replenishing iron stores. | 3. Amla Juice: Take 20 ml with equal water every morning on empty stomach for 6 weeks — boosts iron absorption increasing haemoglobin synthesis per cell. | 4. Ashwagandha Churna: Take 3 g with warm milk at bedtime for 6 weeks — improves protein synthesis and bone marrow output"," raising MCH. | 5. Mandur Bhasma: Take 250 mg twice daily with buttermilk after meals for 6 weeks — directly replenishes iron for haemoglobin synthesis within each RBC."";""1. Avoid tea and coffee within 1 hour before and after meals. | 2. Cook exclusively in iron cookware during treatment. | 3. Practice Pranayama (Anulom Vilom) for 15 minutes daily to reduce tissue hypoxia from low MCH. | 4. Ensure adequate protein intake — MCH is directly dependent on both iron and protein availability for haemoglobin synthesis. | 5. Avoid prolonged fasting and skipping meals — these deplete precursors required for haemoglobin synthesis within RBCs."";""1. Increase both iron AND protein intake simultaneously — low MCH requires both for haemoglobin synthesis within each cell. | 2. Eat high-quality plant proteins: moong dal", lentils, chickpeas, and quinoa at every meal. | 3. Include iron-rich foods with Vitamin C at every meal for enhanced absorption. | 4. Consume 200 ml pomegranate juice every morning on empty stomach. | 5. Include sesame seeds (1 tablespoon," soaked overnight) daily — high in both iron and plant protein.""",,,,,,,,,,,,,,,,,,,,,,,
"CBC;MCH (Mean Corpuscular Hb);High;""1. Triphala Churna: Take 5 g with warm water at bedtime for 8 weeks — detoxifies blood and reduces haemoconcentration causing elevated MCH. | 2. Guduchi Swarasa: Take 20 ml with equal water every morning for 6 weeks — blood purifier that corrects RBC quality imbalances. | 3. Neem Capsules: Take 500 mg twice daily after meals for 4 weeks — reduces oxidative stress within RBCs driving elevated MCH. | 4. Manjistha Churna: Take 3 g twice daily after meals for 6 weeks — addresses Pitta-aggravated blood conditions causing MCH elevation. | 5. Note: High MCH often coexists with high MCV (B12/folate deficiency) — Shatavari Churna 5 g with milk twice daily for 8 weeks supports gut health for improved B-vitamin absorption."";""1. Increase hydration significantly — 3–3.5 litres daily. | 2. Avoid alcohol completely — primary dietary driver of elevated MCH (macrocytosis). | 3. Practice Sheetali Pranayama for 10 minutes daily. | 4. Ensure adequate Vitamin B12 and folate are addressed — high MCH typically indicates megaloblastic change. | 5. Follow a consistent daily routine with regular meal and sleep timings to stabilise metabolic function."";""1. Avoid alcohol entirely — directly causes macrocytosis and elevated MCH. | 2. Eat folate-rich foods: dal", leafy greens, broccoli, and asparagus at every meal. | 3. Include B12-rich foods: dairy, eggs daily. | 4. Consume cooling, blood-purifying foods: pomegranate, coriander, coconut water," and buttermilk. | 5. Avoid iron-fortified foods during this period.""",,,,,,,,,,,,,,,,,,,,
"CBC;MCHC (Mean Corpuscular Hb Concentration);Low;""1. Punarnava Mandur: Take 2 tablets twice daily after meals with warm water for 8 weeks — raises intracellular haemoglobin concentration by correcting iron deficiency. | 2. Lohasava: Take 15 ml with equal water twice daily after meals for 6–8 weeks — replenishes iron enabling normal MCHC. | 3. Mandur Bhasma: Take 250 mg twice daily with buttermilk after meals for 6 weeks — directly boosts intracellular haemoglobin synthesis. | 4. Amla Juice: Take 20 ml with equal water every morning on empty stomach for 6 weeks — Vitamin C maximises iron absorption for haemoglobin synthesis. | 5. Ashwagandha Churna: Take 3 g with warm milk at bedtime for 6 weeks — supports bone marrow production of well-haemoglobinised RBCs."";""1. Avoid tea and coffee with meals — tannins block the iron absorption needed for MCHC restoration. | 2. Cook in iron cookware to passively supplement iron. | 3. Practice Anulom Vilom Pranayama for 15 minutes daily to reduce tissue hypoxia from low MCHC. | 4. Maintain regular"," consistent meal timings to optimise digestive Agni for nutrient absorption. | 5. Avoid antacids around mealtimes — reduce stomach acid needed for iron absorption."";""1. Prioritise iron and protein simultaneously at every meal. | 2. Pair iron foods with Vitamin C at every meal. | 3. Eat iron-rich foods: spinach", horse gram, black sesame, pomegranate, jaggery," and raisins daily. | 4. Soak and sprout all legumes before cooking to increase iron bioavailability. | 5. Drink 200 ml pomegranate juice every morning on empty stomach.""",,,,,,,,,,,,,,,,,,,,,,
